title,genre,overview
The Godfather,"['Drama', 'Crime']","['spanning', 'years', '1945', '1955', 'chronicle', 'fictional', 'italianamerican', 'corleone', 'crime', 'family', 'organized', 'crime', 'family', 'patriarch', 'vito', 'corleone', 'barely', 'survives', 'attempt', 'life', 'youngest', 'son', 'michael', 'steps', 'take', 'care', 'wouldbe', 'killers', 'launching', 'campaign', 'bloody', 'revenge']"
The Shawshank Redemption,"['Drama', 'Crime']","['framed', '1940s', 'double', 'murder', 'wife', 'lover', 'upstanding', 'banker', 'andy', 'dufresne', 'begins', 'new', 'life', 'shawshank', 'prison', 'puts', 'accounting', 'skills', 'work', 'amoral', 'warden', 'long', 'stretch', 'prison', 'dufresne', 'comes', 'admired', 'inmates', 'including', 'older', 'prisoner', 'named', 'red', 'integrity', 'unquenchable', 'sense', 'hope']"
The Godfather Part II,"['Drama', 'Crime']","['continuing', 'saga', 'corleone', 'crime', 'family', 'young', 'vito', 'corleone', 'grows', 'sicily', '1910s', 'new', 'york', '1950s', 'michael', 'corleone', 'attempts', 'expand', 'family', 'business', 'las', 'vegas', 'hollywood', 'cuba']"
Schindler's List,"['Drama', 'History', 'War']","['true', 'story', 'businessman', 'oskar', 'schindler', 'saved', 'thousand', 'jewish', 'lives', 'nazis', 'worked', 'slaves', 'factory', 'world', 'war', 'ii']"
Dilwale Dulhania Le Jayenge,"['Comedy', 'Drama', 'Romance']","['raj', 'rich', 'carefree', 'happygolucky', 'second', 'generation', 'nri', 'simran', 'daughter', 'chaudhary', 'baldev', 'singh', 'spite', 'nri', 'strict', 'adherence', 'indian', 'values', 'simran', 'left', 'india', 'married', 'childhood', 'fiancé', 'raj', 'leaves', 'india', 'mission', 'hands', 'claim', 'lady', 'love', 'noses', 'whole', 'family', 'thus', 'begins', 'saga']"
12 Angry Men,['Drama'],"['defense', 'prosecution', 'rested', 'jury', 'filing', 'jury', 'room', 'decide', 'young', 'spanishamerican', 'guilty', 'innocent', 'murdering', 'father', 'begins', 'open', 'shut', 'case', 'soon', 'becomes', 'minidrama', 'jurors', 'prejudices', 'preconceptions', 'trial', 'accused']"
Spirited Away,"['Animation', 'Family', 'Fantasy']","['young', 'girl', 'chihiro', 'becomes', 'trapped', 'strange', 'new', 'world', 'spirits', 'parents', 'undergo', 'mysterious', 'transformation', 'must', 'call', 'upon', 'courage', 'never', 'knew', 'free', 'family']"
Parasite,"['Comedy', 'Thriller', 'Drama']","['unemployed', 'kitaeks', 'family', 'takes', 'peculiar', 'interest', 'wealthy', 'glamorous', 'parks', 'livelihood', 'get', 'entangled', 'unexpected', 'incident']"
The Dark Knight,"['Drama', 'Action', 'Crime', 'Thriller']","['batman', 'raises', 'stakes', 'war', 'crime', 'help', 'lt', 'jim', 'gordon', 'district', 'attorney', 'harvey', 'dent', 'batman', 'sets', 'dismantle', 'remaining', 'criminal', 'organizations', 'plague', 'streets', 'partnership', 'proves', 'effective', 'soon', 'find', 'prey', 'reign', 'chaos', 'unleashed', 'rising', 'criminal', 'mastermind', 'known', 'terrified', 'citizens', 'gotham', 'joker']"
The Green Mile,"['Fantasy', 'Drama', 'Crime']","['supernatural', 'tale', 'set', 'death', 'row', 'southern', 'prison', 'gentle', 'giant', 'john', 'coffey', 'possesses', 'mysterious', 'power', 'heal', 'peoples', 'ailments', 'cell', 'blocks', 'head', 'guard', 'paul', 'edgecomb', 'recognizes', 'coffeys', 'miraculous', 'gift', 'tries', 'desperately', 'help', 'stave', 'condemned', 'mans', 'execution']"
